ランク,必要EXP,必要累積EXP,報酬
1,0,0,
2,7224,7224,クリスタル×50
3,7224,14448,想いのカケラ×10
4,7224,21672,想いのカケラ×10
5,7224,28896,"称号「○と○」ランク1,称号名「○○」"
6,7224,36120,想いのカケラ×10
7,28094,64214,想いのカケラ×10
8,28094,92308,ライブボーナスドリンク（大）
9,28094,120402,想いのカケラ×10
10,60200,180602,称号「○と○」ランク2
11,60200,240802,想いのカケラ×10
12,60200,301002,クリスタル×50
13,70234,371236,想いのカケラ×10
14,70234,441470,想いのカケラ×10
15,70234,511704,称号「○と○」ランク3
16,100332,612036,「○と○」ライブ掛け合いボイス1
17,100332,712368,想いのカケラ×10
18,100332,812700,ライブボーナスドリンク（大）
19,130432,943132,想いのカケラ×10
20,130432,1073564,称号「○と○」ランク4
21,130432,1203996,想いのカケラ×10
22,160534,1364530,クリスタル×50
23,160534,1525064,想いのカケラ×10
24,160534,1685598,想いのカケラ×10
25,210700,1896298,称号「○と○」ランク5
26,210700,2106998,称号名「○○」
27,210700,2317698,想いのカケラ×10
28,250834,2568532,想いのカケラ×10
29,250834,2819366,ライブボーナスドリンク（大）
30,250834,3070200,称号「○と○」ランク6
31,280934,3351134,想いのカケラ×10
32,280934,3632068,クリスタル×50
33,280934,3913002,想いのカケラ×10
34,301000,4214002,想いのカケラ×10
35,301000,4515002,称号「○と○」ランク7
36,301000,4816002,「○と○」ライブ掛け合いボイス2
37,301000,5117002,想いのカケラ×10
38,301000,5418002,ライブボーナスドリンク（大）
39,301000,5719002,想いのカケラ×10
40,301000,6020002,称号「○と○」ランク8
41,301000,6321002,想いのカケラ×10
42,301000,6622002,クリスタル×50
43,301000,6923002,想いのカケラ×10
44,301000,7224002,想いのカケラ×10
45,301000,7525002,称号「○と○」ランク9
46,301000,7826002,称号名「○○」
47,301000,8127002,想いのカケラ×10
48,301000,8428002,ライブボーナスドリンク（大）
49,301000,8729002,想いのカケラ×10
50,301000,9030002,称号「○と○」ランク10
51,301000,9331002,想いのカケラ×10
52,301000,9632002,クリスタル×50
53,301000,9933002,想いのカケラ×10
54,301000,10234002,想いのカケラ×10
55,301000,10535002,称号「○と○」ランク11
56,301000,10836002,「○と○」ライブ掛け合いボイス3
57,301000,11137002,想いのカケラ×10
58,301000,11438002,ライブボーナスドリンク（大）
59,301000,11739002,想いのカケラ×10
60,301000,12040002,称号「○と○」ランク12
61,301000,12341002,想いのカケラ×10
62,301000,12642002,クリスタル×50
63,301000,12943002,想いのカケラ×10
64,301000,13244002,想いのカケラ×10
65,301000,13545002,称号「○と○」ランク13
66,301000,13846002,スタンプ「○と○」
67,301000,14147002,想いのカケラ×10
68,301000,14448002,ライブボーナスドリンク（大）
69,301000,14749002,想いのカケラ×10
70,301000,15050002,称号「○と○」ランク14
71,301000,15351002,想いのカケラ×10
72,301000,15652002,クリスタル×50
73,301000,15953002,想いのカケラ×10
74,301000,16254002,想いのカケラ×10
75,301000,16555002,称号「○と○」ランク15